base_id,Math,Science,English,Computer,Social,Total Marks,Average,Percentage,Result (Pass / Fail),Grade
1008,49,59,52,51,56,267,53.4,53.400000000000006,Pass,C
1082,57,57,57,47,48,266,53.2,53.2,Pass,C
1016,46,52,53,58,57,266,53.2,53.2,Pass,C
1060,48,57,50,58,52,265,53.0,53.0,Pass,C
1085,51,48,55,55,55,264,52.8,52.800000000000004,Pass,C
1075,45,58,45,59,57,264,52.8,52.800000000000004,Pass,C
1077,50,46,55,53,59,263,52.6,52.6,Pass,C
1051,57,55,48,58,45,263,52.6,52.6,Pass,C
1024,58,53,53,46,53,263,52.6,52.6,Pass,C
1018,50,51,47,59,56,263,52.6,52.6,Pass,C
1029,45,59,50,58,49,261,52.2,52.2,Pass,C
1098,57,48,50,53,53,261,52.2,52.2,Pass,C
1061,56,49,53,53,49,260,52.0,52.0,Pass,C
1051,59,45,51,48,56,259,51.8,51.800000000000004,Pass,C
1070,48,45,59,56,50,258,51.6,51.6,Pass,C
1011,53,50,53,48,53,257,51.4,51.4,Pass,C
1048,45,55,53,57,46,256,51.2,51.2,Pass,C
1099,45,51,58,46,55,255,51.0,51.0,Pass,C
1098,46,50,58,55,45,254,50.8,50.8,Pass,C
1018,55,48,45,53,53,254,50.8,50.8,Pass,C
1083,45,47,53,49,58,252,50.4,50.4,Pass,C
1094,46,48,49,52,56,251,50.2,50.2,Pass,C
1088,49,54,55,48,45,251,50.2,50.2,Pass,C
1012,48,50,47,49,56,250,50.0,50.0,Pass,C
1068,48,50,47,45,57,247,49.4,49.4,Pass,C
1011,49,48,47,45,47,236,47.2,47.199999999999996,Pass,C
1054,9,45,39,29,42,164,32.8,32.800000000000004,Fail,U
1023,41,37,24,29,31,162,32.4,32.4,Fail,U
1023,35,16,41,36,33,161,32.2,32.2,Fail,U
1009,40,20,35,25,35,155,31.0,31.0,Fail,U
1067,32,7,41,33,40,153,30.6,30.599999999999998,Fail,U
1035,21,30,33,28,33,145,29.0,28.999999999999996,Fail,U
1022,35,33,21,32,23,144,28.8,28.799999999999997,Fail,U
1074,28,25,23,31,30,137,27.4,27.400000000000002,Fail,U
1088,32,9,41,35,19,136,27.2,27.200000000000003,Fail,U
1098,38,8,27,27,34,134,26.8,26.8,Fail,U
1095,31,3,40,24,32,130,26.0,26.0,Fail,U
1095,28,30,29,6,35,128,25.6,25.6,Fail,U
1028,42,35,7,16,26,126,25.2,25.2,Fail,U
1048,12,22,22,30,38,124,24.8,24.8,Fail,U
1012,26,35,25,24,13,123,24.6,24.6,Fail,U
1061,33,3,18,25,42,121,24.2,24.2,Fail,U
1011,2,26,17,40,33,118,23.6,23.599999999999998,Fail,U
1035,24,11,8,36,38,117,23.4,23.400000000000002,Fail,U
1036,22,23,2,27,42,116,23.2,23.200000000000003,Fail,U
1057,39,18,40,1,11,109,21.8,21.8,Fail,U
1033,16,29,3,20,36,104,20.8,20.8,Fail,U
1020,16,3,20,24,33,96,19.2,19.2,Fail,U
1063,4,33,14,21,20,92,18.4,18.4,Fail,U
1072,25,29,18,18,2,92,18.4,18.4,Fail,U
1006,19,26,3,19,20,87,17.4,17.4,Fail,U
1081,5,19,4,35,17,80,16.0,16.0,Fail,U
1089,11,16,33,9,6,75,15.0,15.0,Fail,U
1022,7,36,20,1,8,72,14.4,14.399999999999999,Fail,U
1098,8,7,3,17,33,68,13.6,13.600000000000001,Fail,U
1035,2,1,12,5,37,57,11.4,11.4,Fail,U
