id,address,zip,lat,lon,neighborhood,sale_date,sqft,bedrooms,bathrooms,floors,year_built,renovated,lot_size,garage,pool,school_rating,crime_rate,proximity_km,price,property_tax,hoa_fee
68,3611 Cedar St,94090,37.769157,-122.420982,OldTown,2023-11-10,2363.02,2,2,1,1918,0,7267.12,1,0,5.3,57.2,0.13,158392.52,933.09,0.0
69,7540 Washington Rd,94119,37.748055,-122.442059,SuburbB,2023-01-08,856.62,3,1,3,1968,1,3595.78,0,0,7.3,60.2,3.11,149010.58,2063.99,0.0
70,3089 Maple Blvd,94095,37.768482,-122.416262,Riverside,2022-08-12,3017.59,2,2,3,1939,1,11027.67,1,0,4.8,51.5,0.37,423367.57,4609.27,0.0
71,5862 Sunset Dr,94121,37.775765,-122.389792,SuburbB,2024-10-20,2382.34,2,2,2,1920,1,10535.04,2,0,4.3,50.2,2.73,227158.53,2021.46,0.0
72,8920 Cedar St,94124,37.781366,-122.392228,Uptown,2022-05-28,2153.22,2,1,3,1916,1,3631.45,1,0,8.1,41.8,2.74,506560.46,4453.45,150.0
73,4695 Sunset Ln,94098,37.78885,-122.416064,Downtown,2022-05-13,1874.47,2,1,3,1910,0,4901.72,2,0,9.6,26.4,2.12,218796.78,1778.17,0.0
74,9436 Elm Ln,94102,37.741852,-122.388782,SuburbA,2023-07-24,2416.31,3,2,1,1911,0,6384.38,1,0,5.0,49.0,4.16,336805.99,3570.51,0.0
75,9205 Pine St,94101,37.762366,-122.421179,SuburbA,2022-07-26,3094.3,2,4,2,1920,1,7819.58,1,0,7.2,63.1,0.85,759043.95,9973.63,0.0
76,1679 Lake Ave,94091,37.766683,-122.372621,SuburbA,2021-10-06,2106.66,2,1,1,1944,1,10376.6,0,1,6.6,50.5,4.17,443731.78,3805.19,0.0
77,1090 Washington Dr,94096,37.775635,-122.41266,SuburbB,2021-06-12,1294.52,3,1,2,1913,0,11082.01,1,0,6.8,68.4,0.9,132882.79,1207.64,0.0
78,1841 Sunset Blvd,94102,37.748963,-122.441609,Uptown,2025-03-25,2230.54,2,2,1,2015,0,6879.95,1,0,10.0,32.1,3.01,547281.64,4015.56,0.0
79,9735 Oak Blvd,94105,37.772251,-122.433877,Uptown,2025-04-03,2256.38,3,1,3,1994,0,3848.82,2,1,9.0,48.0,1.24,768723.79,6584.5,0.0
80,2744 Elm Blvd,94089,37.779283,-122.445966,Uptown,2022-01-03,2969.16,5,2,1,1981,1,4315.21,2,0,6.9,52.1,2.5,654397.22,8023.97,300.0
81,327 Lake Blvd,94111,37.747591,-122.426735,Uptown,2021-07-12,2115.93,3,2,2,2000,1,4819.45,1,0,7.8,41.8,2.56,690137.35,5309.5,0.0
82,352 Maple St,94100,37.771451,-122.396977,Uptown,2022-11-27,1971.93,3,2,2,1928,0,8495.49,1,0,6.9,43.7,2.03,558768.69,4930.6,150.0
83,476 Elm St,94091,37.774225,-122.386919,Uptown,2023-06-06,2152.65,2,2,1,2014,0,14029.42,2,0,10.0,43.9,2.94,597588.19,5027.78,150.0
84,9294 River Blvd,94105,37.773072,-122.497243,OldTown,2024-11-25,1956.79,4,2,2,2011,0,3218.82,2,0,5.9,72.1,6.79,460944.64,3603.45,0.0
85,7571 River Dr,94124,37.772762,-122.408233,SuburbA,2025-04-04,1399.11,4,2,3,1981,1,5235.18,0,0,6.0,45.3,1.08,254785.59,2112.83,0.0
86,722 Lake Blvd,94123,37.73056,-122.362514,SuburbB,2026-01-22,2396.3,3,1,1,1955,0,12618.97,0,0,5.0,51.1,6.68,252809.33,2959.99,0.0
87,3632 River Rd,94112,37.751076,-122.397964,Downtown,2021-11-09,1879.72,3,2,2,1917,0,1739.07,1,0,7.2,24.8,2.85,237079.43,2747.44,0.0
88,2056 Washington Ln,94101,37.740393,-122.448356,Downtown,2021-09-01,2286.71,1,3,3,1952,0,9657.77,2,0,10.0,32.7,4.12,471599.41,2775.23,150.0
89,6474 Elm Blvd,94088,37.774835,-122.399595,SuburbA,2025-10-24,1710.99,2,2,2,1933,0,5800.98,1,0,5.5,22.2,1.87,369381.06,4875.27,0.0
90,7255 Maple Blvd,94106,37.77963,-122.433105,SuburbB,2026-04-25,1322.02,3,3,2,1928,0,2616.04,1,0,7.1,42.3,1.57,92331.91,482.88,0.0
91,4844 Oak Blvd,94111,37.789913,-122.398748,SuburbB,2024-05-25,300,3,1,3,1971,0,10666.45,2,0,7.4,53.3,2.89,40179.46,233.26,0.0
92,5324 River St,94119,37.781854,-122.446102,Uptown,2024-01-20,3010.49,2,2,1,1942,0,10542.04,0,0,9.1,37.7,2.64,760229.5,6195.96,0.0
93,5711 Cedar Ln,94088,37.768968,-122.449906,SuburbA,2024-04-12,1829.59,2,2,1,1968,0,3914.12,1,0,6.3,58.6,2.63,418733.72,5096.3,0.0
94,1944 Pine Ln,94092,37.776554,-122.3997,SuburbA,2022-03-12,1575.79,2,4,2,1933,0,6008.59,1,0,7.6,58.6,1.92,306508.53,3478.64,0.0
95,2037 Maple Ave,94118,37.760126,-122.373441,Riverside,2025-06-09,1859.89,1,1,1,1985,0,6786.55,2,0,6.1,28.0,4.23,460890.25,2441.92,0.0
96,5900 River Dr,94104,37.74881,-122.441739,Riverside,2022-12-26,1829.84,4,1,3,1977,0,11476.47,2,0,9.8,55.2,3.03,962173.06,11227.23,0.0
97,571 Lake Ln,94093,37.753845,-122.381951,Uptown,2024-10-01,563.16,3,3,2,1925,1,8199.26,1,0,8.1,38.0,3.79,125419.08,1506.19,0.0
98,5932 Lake Rd,94109,37.786585,-122.433439,SuburbB,2022-12-10,1724.94,3,3,2,1977,0,11309.71,0,0,6.7,39.5,2.19,476082.52,7132.92,0.0
99,4020 Lake Dr,94099,37.761282,-122.452927,SuburbA,2025-02-01,2022.36,2,1,1,1937,1,8645.57,1,0,6.2,56.7,3.05,484386.22,2530.19,0.0
100,2151 Pine Ln,94086,37.77376,-122.447208,SuburbB,2023-03-27,951.49,2,4,3,2020,0,12473.16,0,0,2.9,45.8,2.42,148715.56,1551.97,0.0
101,8969 Sunset Rd,94101,37.77066,-122.436913,Uptown,2026-04-04,2291.26,3,3,2,1926,0,5292.15,0,0,9.0,36.3,1.49,402674.22,3076.4,0.0
102,2519 Cedar St,94086,37.755072,-122.440208,Riverside,2022-04-08,1416.96,4,2,1,1928,0,9713.86,1,0,6.8,57.6,2.43,330908.23,2237.48,0.0
103,4635 Sunset Rd,94111,37.793012,-122.450014,SuburbB,2021-09-11,1970.4,4,2,1,1922,0,5507.4,0,1,5.5,43.2,3.67,325672.18,4403.94,0.0
104,4422 Washington Ave,94125,37.753001,-122.443101,SuburbB,2023-09-15,2140.88,2,1,1,1963,0,12635.28,2,0,6.0,41.5,2.77,468018.3,4709.14,0.0
105,9826 Oak Ave,94120,37.758508,-122.418647,SuburbA,2023-02-03,1890.99,3,2,3,1990,0,6362.65,1,0,4.4,61.4,1.28,513946.11,6128.62,0.0
106,722 Sunset Blvd,94106,37.755118,-122.399999,Riverside,2022-05-03,1922.49,4,1,2,1907,0,4724.78,1,1,10.0,38.9,2.41,243689.46,1652.61,0.0
107,8627 Washington St,94085,37.801776,-122.446491,SuburbA,2021-10-24,3257.87,3,3,1,1999,0,6731.27,0,1,4.3,39.3,4.22,907034.14,9736.15,0.0
108,4078 Hill St,94099,37.803445,-122.472644,OldTown,2021-06-13,3031.99,2,2,1,1958,0,6617.97,1,0,2.1,61.7,5.93,373538.77,3425.11,0.0
109,8433 Pine Dr,94110,37.775013,-122.476303,SuburbB,2021-06-24,1910.68,3,3,3,1930,1,17384.92,0,1,5.4,70.8,4.97,203567.46,2044.01,0.0
110,5997 Cedar Ln,94102,37.766345,-122.441402,SuburbA,2021-08-21,1582.55,1,3,3,1939,1,12431.24,2,0,6.2,40.1,1.92,374451.11,3178.01,0.0
111,5730 Cedar Blvd,94107,37.783905,-122.450351,OldTown,2023-06-16,1039.74,4,1,2,1937,1,1292.31,0,0,4.3,67.0,3.08,113309.11,962.04,0.0
112,7624 Hill Ln,94115,37.7666,-122.361673,SuburbB,2023-03-22,2145.64,1,1,3,1944,0,8933.42,1,0,6.2,69.1,5.13,425231.71,4826.2,0.0
113,9612 Elm Ave,94095,37.77131,-122.453014,SuburbB,2024-07-28,1481.29,3,1,2,1957,0,1270.67,2,0,5.0,55.2,2.9,135068.13,1695.76,0.0
114,6826 Pine Rd,94085,37.790362,-122.453954,OldTown,2024-01-23,1742.46,3,1,3,1959,1,3397.13,0,0,6.3,58.1,3.74,520174.56,3887.22,0.0
115,5907 Sunset Dr,94111,37.763132,-122.407743,Riverside,2022-11-05,1838.27,4,2,2,1995,1,5632.8,1,0,9.7,34.3,1.32,808059.77,5063.88,0.0
116,714 Pine St,94104,37.74361,-122.449281,OldTown,2024-05-29,2846.04,3,1,2,1946,0,21.75,2,0,5.6,49.2,3.9,341984.7,3220.46,0.0
117,6207 Sunset Dr,94101,37.805718,-122.43325,SuburbA,2025-11-29,2607.69,4,1,2,1974,0,5111.81,1,0,10.0,43.2,4.13,630499.16,6023.81,0.0
118,2360 Oak St,94119,37.755073,-122.453717,SuburbA,2022-05-25,1887.97,4,1,2,1927,1,4562.78,1,0,7.3,41.7,3.39,281916.65,3967.58,0.0
119,3657 River Blvd,94121,37.794146,-122.397351,Downtown,2024-06-26,2519.85,4,2,1,1924,1,12742.23,1,0,9.1,32.2,3.34,657111.15,5274.1,0.0
120,831 Lake Rd,94119,37.776703,-122.45744,OldTown,2023-07-15,375.94,2,1,3,2010,1,13827.36,1,0,3.1,42.1,3.37,64851.44,969.13,0.0
121,8563 Pine Ln,94091,37.791362,-122.405164,Uptown,2025-07-09,2267.85,2,3,3,1908,0,10047.9,1,0,8.5,58.8,2.71,268206.21,3080.62,500.0
122,1501 Pine Dr,94109,37.783487,-122.457242,Riverside,2021-08-02,1365.01,4,3,3,1959,1,7928.89,1,0,7.6,47.2,3.59,324528.37,3943.58,0.0
123,5565 Sunset Blvd,94104,37.780838,-122.437129,Downtown,2021-10-17,1882.52,3,1,3,1902,0,10847.15,1,0,10.0,44.6,1.93,386480.26,2672.34,0.0
124,781 River Dr,94097,37.737084,-122.430751,SuburbA,2025-04-02,475.71,3,2,2,1944,0,9201.44,1,0,8.0,67.5,3.77,66469.74,724.74,0.0
125,2757 Elm Blvd,94119,37.78676,-122.390369,Downtown,2024-12-15,1494.83,3,2,2,1964,1,725.35,0,0,8.7,36.0,3.2,521940.66,6150.61,0.0
126,4778 Washington Ave,94109,37.747235,-122.432445,SuburbA,2026-04-14,2434.59,3,3,3,1974,0,7686.84,2,0,7.5,45.5,2.75,498449.99,5253.35,0.0
127,3191 Maple Ln,94115,37.749141,-122.424027,Riverside,2022-08-22,1670.22,3,3,1,1973,1,6176.03,0,1,6.4,52.9,2.34,444699.68,3878.74,0.0
128,7024 Washington Ln,94095,37.777705,-122.422594,Downtown,2021-11-25,3115.73,4,3,2,1949,1,5903.04,1,0,10.0,50.4,0.89,717853.32,3944.97,0.0
129,8557 Maple Ave,94105,37.759179,-122.455293,Riverside,2024-01-11,1500.48,4,3,3,1920,1,10488.42,1,0,10.0,39.9,3.32,408959.52,4161.19,0.0
130,8932 Pine Ave,94086,37.767592,-122.467313,SuburbB,2025-02-05,2584.78,3,3,3,2008,0,10410.65,2,0,4.5,65.3,4.16,488732.73,4936.36,0.0
131,2011 Sunset Dr,94085,37.790368,-122.383064,Uptown,2021-10-24,1933.41,4,2,1,1929,0,7460.63,1,0,7.4,53.3,3.95,304366.6,1802.22,150.0
132,6236 Oak Blvd,94104,37.805392,-122.438181,OldTown,2022-08-24,2065.79,2,1,2,1980,0,11434.28,0,0,5.1,58.2,4.24,362233.45,4521.87,0.0
133,3642 Sunset Ave,94123,37.769479,-122.3889,SuburbA,2021-07-06,2383.56,3,1,3,1902,1,3397.65,2,0,8.3,47.1,2.73,270681.88,2465.53,0.0
134,4165 Pine St,94105,37.791473,-122.464468,Downtown,2024-11-02,2432.28,2,2,1,1961,0,83.79,0,0,9.5,23.8,4.57,768308.1,4439.49,300.0
135,8039 Oak Dr,94089,37.755856,-122.393182,Uptown,2021-09-12,1192.17,3,1,1,1928,0,1721.71,1,1,8.8,50.3,2.83,264469.17,1583.89,300.0
136,6345 Elm Ln,94104,37.746797,-122.445156,Downtown,2024-08-13,1167.12,2,1,3,1971,0,8390.77,1,0,7.7,46.0,3.39,266238.01,2450.64,0.0
137,2025 Washington Rd,94116,37.762269,-122.419829,SuburbA,2025-12-21,1643.16,6,4,3,2006,0,9215.76,2,0,2.7,39.3,0.86,621411.9,3775.39,0.0
138,2081 Sunset Ln,94100,37.803097,-122.458512,SuburbB,2024-06-21,1602.06,3,2,3,1903,0,10099.94,1,0,7.0,50.2,4.99,257497.01,3714.4,0.0
139,5976 Hill Ln,94107,37.756547,-122.460156,Riverside,2023-02-15,3692.7,2,3,2,2002,1,1631.42,0,0,8.8,55.3,3.83,1348341.94,9477.95,0.0
140,1452 Oak St,94116,37.777036,-122.458019,Uptown,2024-12-04,2127.48,3,2,1,1969,0,12926.83,2,0,8.3,42.0,3.43,470030.29,2711.13,0.0
141,5212 Elm Dr,94099,37.773427,-122.440706,SuburbA,2023-06-30,1191.53,2,2,1,1919,1,8528.59,2,1,8.9,36.7,1.86,211014.89,2054.55,0.0
142,2858 Washington Rd,94117,37.759564,-122.445383,Riverside,2023-03-27,2078.0,3,1,3,1950,0,7267.3,1,0,8.3,39.0,2.51,321653.48,3961.74,0.0
143,9300 Washington Blvd,94116,37.79677,-122.413448,SuburbA,2022-10-19,1650.47,4,2,3,1993,0,8352.67,0,1,6.4,58.1,3.03,411334.66,4247.65,0.0
144,6703 Washington Ave,94097,37.769339,-122.424997,Uptown,2022-01-19,2689.57,2,1,2,1993,0,11910.78,2,0,6.7,49.6,0.44,457829.14,3428.61,0.0
145,7685 Cedar Dr,94107,37.738109,-122.456412,Riverside,2022-03-15,2338.53,2,1,3,1985,0,5002.64,1,1,6.7,31.1,4.77,1110573.53,14896.78,0.0
146,5836 Lake Ln,94109,37.765532,-122.441433,SuburbB,2024-06-08,2512.32,4,2,3,1950,1,6330.5,1,1,6.9,64.2,1.94,519986.88,4207.08,0.0
147,3587 Pine Rd,94121,37.72614,-122.455703,SuburbB,2024-05-17,2278.91,3,3,3,1987,1,9275.34,2,0,5.4,64.1,5.79,500151.01,5690.43,0.0
148,2190 Lake Blvd,94106,37.789528,-122.413509,SuburbB,2025-10-24,1571.6,2,1,1,1994,0,6401.08,1,0,5.7,52.6,2.24,251775.56,2582.61,0.0
149,2030 Washington Blvd,94113,37.753145,-122.408983,SuburbA,2024-08-12,2936.74,3,2,1,1938,0,11432.88,0,0,5.1,48.1,2.11,364806.92,3059.45,0.0
150,4419 Pine Ln,94125,37.765726,-122.415564,SuburbB,2024-12-17,2509.98,5,3,1,2015,1,4781.08,1,0,4.1,62.3,0.61,598790.8,4354.54,0.0
151,4493 Cedar Blvd,94094,37.732289,-122.443857,Uptown,2026-03-23,2134.55,4,2,1,1947,1,7797.07,2,0,5.8,48.1,4.68,646176.81,4569.71,0.0
152,9296 Oak Blvd,94103,37.726785,-122.403177,OldTown,2023-07-08,1329.65,3,2,1,1975,0,11560.16,1,0,7.6,42.2,5.02,211997.73,1943.43,0.0
153,9510 Hill Dr,94110,37.780154,-122.446671,SuburbA,2024-03-10,1005.94,2,2,1,1953,1,15335.05,1,0,8.1,46.8,2.6,147911.63,1594.56,0.0
154,6644 Maple Ln,94106,37.738961,-122.477666,Uptown,2022-01-27,1580.01,5,3,2,1961,1,3923.55,1,0,7.6,36.6,6.12,352199.04,3662.54,0.0
155,6811 Washington St,94116,37.749908,-122.364148,SuburbA,2025-12-04,1673.72,2,1,3,1967,1,7114.82,1,0,7.4,31.2,5.38,219439.57,3104.3,0.0
